المقطع الأول,المقطع الثاني,Language
ضحكت يعني قلبها مال وخلاص الفرق ما بيننا اتشال,يلا يا قلبي روح لها يلا قل لها كل اللي بيتقال,Arabic
... وقالوا عليكِ إن إنتِ عينيكي قاسية ومفيش فيها مكان ,يمكن حبيتي ورحتي وجيتي واتنسيتي مع الأيام ,Arabic
Is it too late now to say sorry,Cause I'm missing more than just your body,English
The club isn't the best place to find a lover,So the bar is where I go,English
They say oh my god I see the way you shine,"Take your hands, my dear, and place them both in mine",English
Hello from the other side,I must've called a thousand times,English
"We don't talk anymore, We don't talk anymore",Like we used to do,English
I got a feeling,That tonight's gonna be a good night,English
"My loneliness is killin' me (And I),  I must confess, I still believe (Still believe)","When I'm not with you, I lose my mind, Give me a sign, Hit me, baby, one more time",English
"Mama, just killed a man, Put a gun against his head","Pulled my trigger, now he's dead",English
"It's been a long day, Without you my friend",And I'll tell you all about it when I see you again,English
"Another head hangs lowly, Child is slowly taken", And the violence caused such silence. Who are we mistaken?,English
"Cause all of me, Loves all of you","Give your all to me, I'll give my all to you",English
"You are my fire, The one desire",Believe when I say I want it that way,English
Just gonna stand there and watch me burn,But that's alright because I like the way it hurts,English
"Oh baby, baby, How was I supposed to know",That somethin' wasn't right here?,English
I'm in love with the shape of you,We push and pull like a magnet do,English
"I'm too hot (hot damn), call the police and the fireman","I'm too hot (hot damn) Make a dragon wanna retire, man",English
"My life is brilliant, My love is pure","I saw an angel, Of that I'm sure",English
"Oops, I did it again",I played with your heart,English
If you wanna run away with me,I know a galaxy and I can take you for a ride,English
I want it that way,Tell me why,English
